h r t rank freq norm_F
4 35 1549 1110 89 0.9475702
4 35 1581 977 186 1.0892335
4 35 1619 1126 67 0.8981428
4 35 1705 928 68 0.93975717
4 35 1839 699 76 0.94623494
4 35 2110 186 129 0.9945652
4 35 2150 1528 87 1.0316135
4 35 2449 1125 109 0.9750256
4 35 2468 1095 61 0.85513
4 35 2527 1257 110 1.0435406
4 35 2719 228 90 0.9385846
4 35 2724 421 87 1.1051319
4 35 3035 1176 37 0.87050825
4 35 3071 1214 78 0.9161661
4 35 3257 920 98 0.9473249
4 35 3364 636 87 0.9981665
4 35 3366 853 55 0.93912166
4 35 3419 1142 72 0.8477722
4 35 3433 1226 63 0.9504047
4 35 3562 856 108 1.0220107
4 35 3666 1065 61 0.87072
4 35 3697 1029 94 0.98130727
4 35 3957 1364 91 0.92954475
4 35 4299 955 96 1.0249691
4 35 4302 1056 105 1.0800464
4 35 4477 862 95 0.9554215
4 35 4606 1037 77 0.9324687
4 35 4684 712 89 0.92205393
4 35 4712 311 55 0.93079066
4 35 4721 398 88 0.9700228
4 35 4760 442 60 0.95318836
4 35 4781 464 50 0.9929686
4 35 4782 616 158 1.0596851
4 35 4792 1093 72 0.9644219
4 35 4981 1036 111 0.8990756
4 35 5043 295 92 0.98152626
4 35 5170 1024 77 0.9632217
4 35 5221 926 56 0.9536793
4 35 5388 1035 52 0.9475765
4 35 5452 826 69 0.9079391
4 35 5477 999 62 0.9689416
4 35 5611 1774 70 0.96789455
4 35 5625 976 69 0.8708509
4 35 5658 719 60 0.88775
4 35 5708 1040 120 0.980958
4 35 5803 735 118 0.96502525
4 35 5848 1134 67 0.93866503
4 35 5990 1058 83 1.0206819
4 35 6086 1678 41 0.8999663
4 35 6392 396 69 0.91600084
4 35 6489 1135 51 0.8781632
4 35 6501 833 70 0.95504117
4 35 6575 615 107 0.9675202
4 35 6899 1067 53 0.8555084
4 35 6933 1080 89 0.9003427
4 35 7068 711 66 0.9239525
4 35 7214 768 102 1.0201281
4 35 7348 1017 85 1.0346843
4 35 7395 1133 63 0.97386324
4 35 7493 883 54 0.9150874
4 35 7522 1714 57 0.9392973
4 35 7614 4557 55 0.90009737
4 35 7616 800 80 0.93508524
4 35 7622 1048 78 1.020804
4 35 7757 350 81 0.9864853
4 35 8187 1014 70 0.97328883
4 35 8224 389 65 0.85277563
4 35 8312 997 66 0.89042604
4 35 8351 556 68 0.9605704
4 35 8409 780 67 0.87659234
4 35 8416 1240 53 0.8947427
4 35 8550 304 78 0.99682856
4 35 8683 1151 66 1.0662752
4 35 8700 834 59 0.9428952
4 35 8829 1074 40 0.8126142
4 35 8862 924 61 0.97540796
4 35 9145 912 84 0.92503697
4 35 9431 807 87 0.80300945
4 35 9516 1062 73 0.94051254
4 35 9583 1094 68 0.98381776
4 35 9964 415 103 0.9146517
4 35 9982 1087 49 0.9083194
4 35 9986 1105 52 0.95055795
4 35 10048 591 67 0.9839887
4 35 10496 293 92 1.0109663
4 35 10552 1031 56 0.89060616
4 35 10636 192 54 0.87294203
4 35 10652 1085 61 0.8756141
4 35 10741 116 68 0.92534804
4 35 10810 1005 74 0.96252155
4 35 11446 708 71 0.94488204
4 35 11459 731 69 0.92200047
4 35 11517 1141 51 0.8953471
4 35 11570 1185 67 0.9422997
4 35 13580 1597 57 0.84554744
4 36 476 131 157 0.9212026
4 36 1842 26 52 0.837585
4 36 3924 126 57 0.86569506
4 36 4931 139 43 0.7765544
4 36 5190 39 39 0.75692344
4 36 5344 184 27 0.7597494
4 36 5442 27 111 0.82546175
4 36 5689 70 46 0.76670134
4 36 6486 16 46 0.8018965
4 36 6881 149 219 0.9516311
4 36 8805 83 50 0.7792334
4 36 9896 151 19 0.6180093
4 36 12724 132 40 0.7578064
4 36 12750 125 21 0.70801175
4 36 13541 159 21 0.6972958
4 537 1953 61 58 1.26127
4 559 5775 3174 202 1.3428026
5 44 4 0 2908 1.4201012
5 46 107 5 1606 1.3561887
5 46 1073 0 1591 1.2722645
5 46 1181 3 1315 1.3712451
5 182 2534 0 241 1.0139774
5 279 6434 0 63 0.92252636
6 3 6898 10 85 0.8716465
6 3 7811 6 73 0.8471494
6 119 0 464 77 0.79341686
6 142 1431 30 91 0.92718863
6 200 251 0 2924 0.9742783
7 3 6 13 94 0.85958344
7 3 2177 1 69 0.8401185
7 9 461 2 51 0.91099846
7 13 2177 1 69 0.8401185
7 13 8736 7 83 0.85221344
7 13 12119 8 78 0.86917466
8 138 17 3 3807 1.0094366
8 171 17 3 3807 1.0094366
8 357 8938 4 82 0.68621767
8 395 1352 5 60 0.6770037
9 5 8 630 88 0.5578676
9 5 181 598 28 0.56223065
9 5 425 566 19 0.55020696
9 5 1321 731 19 0.56298614
9 5 1528 649 18 0.55461377
9 5 1543 722 27 0.5629034
9 5 1916 743 26 0.57075024
9 5 2462 686 67 0.6186565
9 5 2679 568 40 0.574555
9 5 2975 496 21 0.57050616
9 5 2997 645 44 0.57011086
9 5 3361 653 42 0.5805739
9 5 3892 727 22 0.55683744
9 5 4068 552 25 0.5548464
9 5 4113 575 61 0.62179047
9 5 4392 609 17 0.5525192
9 5 4400 673 65 0.6028481
9 5 4557 648 33 0.5723107
9 5 4958 681 23 0.56432956
9 5 5055 434 63 0.6234608
9 5 5202 443 31 0.6229699
9 5 5423 563 28 0.562161
9 5 5849 629 21 0.55378246
9 5 7420 704 37 0.5624585
9 5 8292 492 36 0.59636873
9 5 8765 676 24 0.603668
9 5 8854 707 24 0.57755345
9 5 8923 700 24 0.5690078
9 5 9620 699 38 0.5435602
9 5 9693 689 27 0.6079716
9 5 9818 670 18 0.591889
9 5 9842 701 32 0.6037661
9 5 9971 601 27 0.5878187
9 5 9977 499 42 0.56769794
9 5 10016 721 14 0.5790982
9 5 10051 583 21 0.545678
9 5 10129 427 21 0.57782817
9 5 10175 666 20 0.568659
9 5 10611 577 41 0.6124438
9 5 10693 573 26 0.5554315
9 5 10878 726 17 0.5819349
9 5 10939 706 20 0.5522139
9 5 10972 683 30 0.56198937
9 5 11080 659 28 0.5823426
9 5 11213 712 35 0.5915364
9 5 11227 668 48 0.6186061
9 5 11404 687 24 0.5491252
9 5 11559 705 41 0.5847886
9 5 11632 650 80 0.6059103
9 5 11728 616 14 0.5648697
9 5 11730 729 36 0.592774
9 5 11735 675 25 0.55721337
9 5 11886 508 43 0.5851932
9 5 12025 718 19 0.5552302
9 5 12056 580 16 0.568381
9 5 12467 494 22 0.5885578
9 5 12496 709 21 0.53830755
9 5 12553 679 19 0.57810825
9 5 12556 652 20 0.55824125
9 5 12681 696 31 0.5472045
9 5 12705 735 20 0.55813587
9 5 12961 607 24 0.5830249
9 5 13025 703 25 0.55554503
9 5 13069 430 30 0.56858003
9 5 13187 634 39 0.59869033
9 5 13218 320 17 0.5504016
9 5 13396 477 28 0.56884015
9 5 13485 716 23 0.5559804
9 5 13546 591 23 0.5576906
9 5 13947 693 20 0.5854283
9 5 14207 637 17 0.5673105
9 238 318 4 105 0.6796748
9 261 183 573 35 0.5739851
9 261 757 711 20 0.5784246
9 261 1419 663 14 0.575393
9 261 1422 507 27 0.5637619
9 261 1868 551 23 0.55146736
9 261 2097 533 21 0.5696492
9 261 3077 682 26 0.5855879
9 261 3534 662 41 0.5645854
9 261 3840 630 26 0.5957433
9 261 4052 534 14 0.56576
9 261 4219 757 33 0.5817187
9 261 4221 524 44 0.5800488
9 261 4324 604 24 0.6256621
9 261 4558 697 50 0.6042286
9 261 5151 616 23 0.5960384
9 261 5666 695 25 0.5650267
9 261 6319 554 68 0.57654333
9 261 6369 388 21 0.5622398
9 261 6427 727 12 0.58246243
9 261 6466 451 32 0.5796606
9 261 6525 498 37 0.58205825
9 261 6626 687 17 0.56343895
9 261 6927 649 22 0.5499241
9 261 7035 640 24 0.57096076
9 261 7042 717 18 0.57654256
9 261 7062 651 40 0.5586396
9 261 7264 712 14 0.57645905
9 261 7423 459 26 0.5763914
9 261 7441 597 40 0.5937832
9 261 7609 567 18 0.5510061
9 261 7613 696 18 0.59854543
9 261 7752 461 25 0.54581004
9 261 7855 458 30 0.57900727
9 261 8242 609 25 0.5619996
9 261 8520 665 9 0.58746636
9 261 8669 721 20 0.57297206
9 261 8671 719 18 0.5394058
9 261 8724 641 34 0.58194005
9 261 8923 723 24 0.5690078
9 261 9015 692 24 0.56814545
9 261 9250 690 14 0.5812372
9 261 9355 684 66 0.614381
9 261 9455 599 19 0.5688998
9 261 9571 671 52 0.6290113
9 261 9588 363 21 0.5595835
9 261 9727 706 32 0.58849233
9 261 10116 674 30 0.5733668
9 261 10291 585 20 0.55198103
9 261 10394 502 52 0.6049857
9 261 10880 744 44 0.60251915
9 261 10956 652 32 0.55025417
9 261 11045 519 14 0.56328195
9 261 11095 639 20 0.57984734
9 261 11213 725 35 0.5915364
9 261 11243 705 39 0.59326494
9 261 11404 685 24 0.5491252
9 261 11499 574 58 0.5763123
9 261 11554 737 38 0.61280066
9 261 11895 700 21 0.55575526
9 261 11911 660 48 0.5965594
9 261 12010 583 25 0.58239007
9 261 12269 579 24 0.5803293
9 261 12274 659 17 0.5959901
9 261 12407 634 22 0.553037
9 261 12444 418 50 0.6352125
9 261 12534 368 28 0.55341923
9 261 12551 476 21 0.58740526
9 261 12689 575 29 0.575881
9 261 12891 675 21 0.5875243
9 261 12908 570 32 0.5817873
9 261 13023 656 17 0.5533199
9 261 13398 724 14 0.594573
9 261 13560 681 16 0.57968354
9 261 13568 779 14 0.5988302
9 261 14060 525 25 0.5573353
9 261 14135 672 15 0.5885034
9 261 14487 669 15 0.569199
9 500 2996 28 84 0.68396604
9 500 3177 6 105 0.71603674
9 500 8423 23 50 0.68564945
9 500 9445 18 62 0.74877274
9 500 10233 16 80 0.71037334
9 665 318 25 105 0.6796748
9 665 1830 18 84 0.7006409
9 665 8423 8 50 0.68564945
9 665 8938 9 82 0.68621767
9 665 9445 17 62 0.74877274
10 5 757 636 20 0.5784246
10 5 905 625 39 0.6005219
10 5 1206 494 38 0.5466011
10 5 1321 719 19 0.56298614
10 5 1372 579 70 0.6204362
10 5 1421 609 71 0.6238766
10 5 1523 617 23 0.5779327
10 5 1916 676 26 0.57075024
10 5 2462 600 67 0.6186565
10 5 2477 573 20 0.55464935
10 5 2681 660 48 0.5960812
10 5 2997 574 44 0.57011086
10 5 3523 712 17 0.57344913
10 5 3792 681 25 0.56509936
10 5 3892 661 22 0.55683744
10 5 4002 631 21 0.5543515
10 5 4297 585 40 0.5753792
10 5 4583 452 51 0.60394025
10 5 5290 682 61 0.56965756
10 5 5315 591 55 0.5961297
10 5 5415 646 18 0.56527233
10 5 5423 498 28 0.562161
10 5 5666 656 25 0.5650267
10 5 6074 640 28 0.5630368
10 5 6243 668 29 0.5633034
10 5 6340 525 15 0.5546687
10 5 7042 603 18 0.57654256
10 5 7062 683 40 0.5586396
10 5 7092 449 19 0.57022154
10 5 7170 605 29 0.55686486
10 5 7621 407 24 0.56737995
10 5 7634 688 13 0.5888999
10 5 7751 316 44 0.5821573
10 5 7999 635 65 0.6001533
10 5 8006 459 25 0.58022565
10 5 8108 292 19 0.58018744
10 5 8724 538 34 0.58194005
10 5 8732 570 23 0.5657177
10 5 9255 720 15 0.57617044
10 5 9455 523 19 0.5688998
10 5 9588 519 21 0.5595835
10 5 9679 698 22 0.56867635
10 5 9683 662 27 0.5663052
10 5 9712 422 43 0.5997963
10 5 9864 212 24 0.63151866
10 5 9913 678 19 0.5836792
10 5 9930 537 20 0.55822647
10 5 9970 514 26 0.54859835
10 5 10151 451 40 0.61908984
10 5 10465 686 15 0.5525152
10 5 10629 657 19 0.55982715
10 5 10661 653 26 0.5637092
10 5 10901 490 23 0.5544043
10 5 11045 590 14 0.56328195
10 5 11047 471 23 0.55439454
10 5 11195 581 32 0.55154836
10 5 11364 577 11 0.57233393
10 5 11453 669 27 0.567695
10 5 11559 697 41 0.5847886
10 5 11787 702 21 0.5645492
10 5 11946 614 24 0.5612335
10 5 12041 497 25 0.5747172
10 5 12198 666 14 0.5444437
10 5 12428 595 25 0.58855265
10 5 12519 598 18 0.5736713
10 5 12556 610 20 0.55824125
10 5 12681 670 31 0.5472045
10 5 12705 849 20 0.55813587
10 5 12833 547 26 0.55462414
10 5 12882 633 13 0.52583134
10 5 12930 684 21 0.55690396
10 5 13307 699 21 0.5923458
10 5 13398 713 14 0.594573
10 5 13689 606 16 0.6041349
10 5 14211 711 21 0.5733338
10 238 8938 3 82 0.68621767
10 261 16 547 27 0.57654506
10 261 757 690 20 0.5784246
10 261 1321 701 19 0.56298614
10 261 1341 509 47 0.5638581
10 261 1564 756 20 0.59067625
10 261 2158 370 23 0.5534014
10 261 2685 672 21 0.5968962
10 261 2783 681 17 0.5954236
10 261 3534 726 41 0.5645854
10 261 4131 544 29 0.5785892
10 261 4354 657 8 0.5458696
10 261 4433 529 36 0.6216915
10 261 4627 654 25 0.6013537
10 261 4958 537 23 0.56432956
10 261 5671 562 22 0.56532
10 261 5784 512 31 0.5384244
10 261 5809 554 22 0.5651752
10 261 5849 626 21 0.55378246
10 261 6074 643 28 0.5630368
10 261 6340 649 15 0.5546687
10 261 6455 560 17 0.55909395
10 261 7241 576 21 0.56106836
10 261 7264 691 14 0.57645905
10 261 7715 433 20 0.5374309
10 261 7814 566 20 0.5692337
10 261 8167 607 18 0.5574248
10 261 8575 603 24 0.56846344
10 261 8979 542 19 0.5943618
10 261 9015 707 24 0.56814545
10 261 9137 686 22 0.5672654
10 261 9250 648 14 0.5812372
10 261 9355 601 66 0.614381
10 261 9616 655 17 0.5625864
10 261 9634 666 14 0.5271577
10 261 9884 660 21 0.56615734
10 261 9886 659 26 0.5788664
10 261 9891 501 30 0.56997234
10 261 9977 551 42 0.56769794
10 261 10000 665 27 0.5628028
10 261 10016 645 14 0.5790982
10 261 10104 652 38 0.5903669
10 261 10611 564 41 0.6124438
10 261 10851 671 33 0.5829755
10 261 11001 629 47 0.63966876
10 261 11045 698 14 0.56328195
10 261 11095 650 20 0.57984734
10 261 11554 583 38 0.61280066
10 261 11825 631 19 0.56566525
10 261 11895 624 21 0.55575526
10 261 11992 310 28 0.6037684
10 261 12298 623 40 0.5675361
10 261 12319 556 15 0.57814205
10 261 12746 497 18 0.56117254
10 261 12790 714 14 0.5594549
10 261 12913 599 23 0.587159
10 261 12946 762 27 0.6675454
10 261 12953 656 16 0.55315566
10 261 13008 627 21 0.54945433
10 261 13025 538 25 0.55554503
10 261 13067 682 37 0.5931424
10 261 13121 639 19 0.5899067
10 261 13289 688 24 0.5524637
10 261 13307 702 21 0.5923458
10 261 13568 718 14 0.5988302
10 261 13587 590 21 0.58550936
10 261 13740 574 27 0.5502001
10 261 13751 663 14 0.592922
10 261 13864 866 16 0.5824791
10 261 14245 699 12 0.56780297
10 261 14253 680 20 0.5853815
10 665 1352 5 60 0.6770037
11 4 9 2 3754 1.0777658
11 4 17 3 3807 1.0094366
11 99 783 3 67 0.7039962
11 171 10 0 3576 1.076643
11 171 174 3 3111 1.0695355
11 191 879 2 368 0.79472953
11 191 1544 0 183 0.84432083
11 255 2979 3 93 0.6742459
11 344 2979 3 93 0.6742459
11 344 2996 1 84 0.68396604
11 344 9678 5 84 0.6575801
12 6 10037 3 39 0.62670374
12 105 9698 10 71 0.7656042
12 105 11253 3 37 0.74837565
12 105 13292 5 16 0.6171142
14 10 760 8 777 1.2289217
14 10 806 33 813 1.270185
14 10 1814 23 341 1.2758604
14 46 1073 14 1591 1.2722645
14 48 58 0 9739 1.2333069
14 52 4 4 2908 1.4201012
14 52 964 9 186 1.2228962
14 53 3410 10 92 0.9322443
14 184 1643 0 166 0.9741874
14 212 3095 0 157 0.86615866
15 167 7340 6 72 1.0097923
15 203 1832 2 69 0.9383531
17 5 1342 639 36 0.55888116
17 5 2158 563 23 0.5534014
17 5 2415 596 17 0.55877084
17 5 2685 502 21 0.5968962
17 5 2742 617 49 0.62586665
17 5 2783 714 17 0.5954236
17 5 3176 695 42 0.5834086
17 5 3427 593 23 0.57329047
17 5 3516 653 44 0.63781804
17 5 3574 720 23 0.5750454
17 5 3985 576 25 0.5686022
17 5 4130 682 20 0.5833826
17 5 4592 545 57 0.63047475
17 5 4671 572 57 0.5816686
17 5 4863 573 44 0.5832629
17 5 4866 705 18 0.5769499
17 5 5315 552 55 0.5961297
17 5 5415 623 18 0.56527233
17 5 5493 713 34 0.58528215
17 5 5627 688 15 0.58835363
17 5 6147 648 24 0.61871094
17 5 6243 667 29 0.5633034
17 5 6317 546 22 0.56540304
17 5 6630 397 26 0.54294586
17 5 6736 621 16 0.55908746
17 5 7028 539 22 0.55141044
17 5 7062 656 40 0.5586396
17 5 7609 666 18 0.5510061
17 5 7752 598 25 0.54581004
17 5 7910 607 55 0.6176396
17 5 8135 673 22 0.5554048
17 5 8163 640 29 0.59164864
17 5 8242 676 25 0.5619996
17 5 8320 599 16 0.56698394
17 5 8485 540 34 0.6566196
17 5 8580 638 9 0.5412405
17 5 8765 675 24 0.603668
17 5 8787 423 16 0.53555024
17 5 8853 686 24 0.57866853
17 5 8854 684 24 0.57755345
17 5 8978 584 23 0.5753663
17 5 8979 650 19 0.5943618
17 5 9084 698 27 0.5531468
17 5 9227 627 26 0.53229576
17 5 9255 725 15 0.57617044
17 5 9537 665 21 0.5427715
17 5 9570 587 28 0.57477033
17 5 9758 558 36 0.5838113
17 5 9809 683 11 0.5459994
17 5 9936 421 23 0.54636145
17 5 10326 710 22 0.55329645
17 5 10385 658 24 0.5686777
17 5 10498 723 22 0.5781392
17 5 10706 398 28 0.5557202
17 5 10889 524 32 0.61047846
17 5 10934 616 15 0.5947514
17 5 11198 637 18 0.5749452
17 5 11378 542 26 0.5567498
17 5 11895 594 21 0.55575526
17 5 11936 440 18 0.55613345
17 5 12010 485 25 0.58239007
17 5 12025 703 19 0.5552302
17 5 12257 494 18 0.55773085
17 5 12269 605 24 0.5803293
17 5 12699 643 23 0.559337
17 5 12705 732 20 0.55813587
17 5 12953 654 16 0.55315566
17 5 13040 669 18 0.5433756
17 5 13866 649 21 0.5700233
17 238 2743 47 58 0.7520147
17 238 3196 55 89 0.73680174
17 238 4298 29 67 0.70593965
17 238 6039 17 117 0.6987634
17 238 9445 45 62 0.74877274
17 261 516 367 51 0.5958024
17 261 1523 570 23 0.5779327
17 261 1663 639 34 0.6089227
17 261 2364 667 21 0.59784067
17 261 2415 637 17 0.55877084
17 261 2685 642 21 0.5968962
17 261 2734 685 16 0.5733004
17 261 2783 721 17 0.5954236
17 261 3077 704 26 0.5855879
17 261 3515 555 52 0.5925184
17 261 3533 427 23 0.58552396
17 261 3544 525 33 0.56700134
17 261 3574 687 23 0.5750454
17 261 4007 657 52 0.5803985
17 261 4052 702 14 0.56576
17 261 4392 630 17 0.5525192
17 261 4454 710 20 0.5938179
17 261 4458 660 31 0.59397924
17 261 5084 510 42 0.5754804
17 261 5202 661 31 0.6229699
17 261 5428 620 20 0.5595425
17 261 5444 708 46 0.56806904
17 261 6038 654 40 0.5938986
17 261 6243 686 29 0.5633034
17 261 6342 663 19 0.57770956
17 261 6475 726 22 0.59472144
17 261 6776 475 49 0.6093205
17 261 7028 556 22 0.55141044
17 261 7042 699 18 0.57654256
17 261 7092 635 19 0.57022154
17 261 7174 713 45 0.6260703
17 261 7321 628 48 0.6179564
17 261 7446 690 21 0.5437715
17 261 7498 638 32 0.55812126
17 261 8242 695 25 0.5619996
17 261 8321 707 36 0.5948614
17 261 8463 669 17 0.57075226
17 261 8952 602 23 0.55314547
17 261 9126 626 27 0.60537106
17 261 9461 652 36 0.59275377
17 261 9886 688 26 0.5788664
17 261 9971 531 27 0.5878187
17 261 10163 649 28 0.56499916
17 261 10203 481 14 0.5573168
17 261 10325 399 28 0.5451384
17 261 10377 711 18 0.55856466
17 261 10503 684 22 0.584416
17 261 10599 514 32 0.5898866
17 261 11441 598 19 0.5626518
17 261 11502 610 25 0.55007356
17 261 11735 578 25 0.55721337
17 261 12298 605 40 0.5675361
17 261 12790 650 14 0.5594549
17 261 12882 521 13 0.52583134
17 261 12946 689 27 0.6675454
17 261 13240 632 22 0.55064005
17 261 13560 664 16 0.57968354
17 261 13912 665 22 0.580873
17 261 14135 715 15 0.5885034
17 261 14207 698 17 0.5673105
17 500 2743 55 58 0.7520147
17 500 6270 60 28 0.7083387
17 500 9458 6 77 0.7078053
17 665 3196 35 89 0.73680174
17 665 5316 5 93 0.69905555
17 665 8356 23 92 0.7312812
17 665 11226 38 73 0.6458794
18 37 161 2 789 1.2992547
18 71 991 0 272 0.9554655
18 75 4559 19 85 0.94761866
18 167 2382 8 67 0.9837992
19 7 18 9 67 0.9083816
19 20 2151 24 404 0.87029713
19 20 3116 43 777 1.0264574
19 52 1398 2 505 1.2038367
20 10 1003 9 624 1.2520571
20 44 4 1 2908 1.4201012
20 48 58 1 9739 1.2333069
20 53 3978 4 116 0.923884
20 169 697 0 715 0.9503465
21 11 480 1 197 0.97131026
21 11 1158 122 105 1.0700086
21 11 1581 160 186 1.0892335
21 11 3842 209 63 0.9319126
21 11 3952 181 128 1.0092741
21 11 4282 115 132 1.0045232
21 11 4347 108 49 0.9295668
21 11 4351 15 122 1.0218396
21 11 4849 9 133 1.0899663
21 11 5389 213 151 1.0388452
21 11 5915 350 67 0.9282857
21 11 5985 123 218 1.0078638
21 11 6012 104 157 1.0620122
21 11 6896 161 91 0.95856136
21 11 7244 38 115 1.0578631
21 11 8387 27 84 0.9744594
21 11 10453 166 70 0.96877056
21 26 1676 40 178 0.9362139
21 26 2726 151 130 0.99515593
21 26 3061 79 33 0.8953728
21 26 3755 24 55 0.9562633
21 26 4300 100 207 0.9382498
21 26 6681 61 145 0.9488135
21 26 7247 85 54 0.93884677
21 72 78 27 102 1.003844
21 72 3913 46 174 1.0361174
21 72 8387 47 84 0.9744594
21 79 2341 37 70 0.9595708
21 79 6301 44 92 1.0328803
21 79 8259 42 87 0.9414355
21 79 9856 103 54 0.8760698
22 11 816 16 98 1.0412614
22 11 1516 41 188 1.0333095
22 11 2208 6 145 1.0146627
22 11 2253 19 172 1.0135155
22 11 3158 57 180 0.9616257
22 11 3613 86 90 1.0002345
22 11 4505 62 116 1.0153426
22 11 5145 114 63 0.870623
22 11 5340 92 117 1.0618409
22 11 6295 27 59 0.92866266
22 11 6375 21 93 0.9301358
22 11 7343 30 139 1.0211533
22 11 8288 140 63 0.8935817
22 26 1477 29 98 1.0147388
22 26 3160 44 66 0.95548785
22 26 4850 18 74 0.88805157
22 26 4875 51 91 1.0152537
22 26 8884 49 70 0.95476836
22 26 8911 9 71 0.91313297
22 79 8911 8 71 0.91313297
23 21 251 0 2924 0.9742783
23 52 964 3 186 1.2228962
23 157 7596 2 55 0.9450089
24 12 482 186 228 0.870886
24 12 1231 61 116 0.7773671
24 12 1410 159 528 1.016945
24 12 2146 77 339 0.9172926
24 12 2254 160 350 0.8902668
24 12 2279 9 48 0.6598297
24 12 2309 93 89 0.81768686
24 12 2586 143 55 0.8162802
24 12 2695 157 117 0.8623845
24 12 3123 125 656 0.96672934
24 12 3242 179 180 0.8719407
24 12 3342 134 296 0.9746785
24 12 3381 84 524 0.92308474
24 12 5163 164 114 0.7706473
24 12 5219 92 90 0.73703724
24 12 5813 137 45 0.6878738
24 12 10593 105 45 0.7428729
24 12 11188 14 62 0.7293093
24 43 403 1 4670 2.2411892
24 222 474 2 154 0.7252182
25 23 4004 2 161 1.3781211
25 70 6158 0 18 0.5949934
25 95 12536 1 8 0.60424364
25 124 506 3 382 0.7315669
26 9 6309 11 71 0.9814354
26 9 10332 9 74 0.96713036
26 30 230 2 4525 1.9534371
26 30 651 6 1223 1.5969965
26 37 65 12 371 1.4357164
26 61 10332 4 74 0.96713036
26 75 467 10 207 0.90184957
26 167 4138 32 60 0.9039567
26 167 6309 4 71 0.9814354
26 167 6864 8 54 0.881596
27 9 10758 3 61 0.88343436
27 61 448 8 112 1.0114757
27 61 767 4 200 1.0946391
27 128 480 0 197 0.97131026
28 49 2254 7 350 0.8902668
28 49 3170 14 154 0.8267423
28 49 3279 50 273 0.8586008
28 49 3381 24 524 0.92308474
28 49 4148 55 218 0.8488646
28 206 2064 9 66 0.620773
29 118 544 9 164 0.6587686
29 247 307 32 85 0.7890566
29 247 314 4 647 0.9949812
29 247 3590 8 141 0.94878274
29 335 176 12 999 1.027247
29 335 247 33 809 1.0898685
29 335 2216 29 309 0.85420233
29 335 7085 32 191 0.954724
29 385 497 3 282 0.75030065
29 385 1747 0 252 0.7225968
30 15 212 25 696 0.9125315
30 15 6223 19 62 0.8190021
30 69 3739 268 52 0.92957723
30 69 4171 76 102 0.8648626
30 136 509 69 54 0.81173486
30 136 2539 33 807 0.9567228
30 136 4774 23 154 0.8849512
30 136 7001 159 39 0.8682076
30 809 653 16 1122 0.9339195
